award,imdbid,kind,talentid,year
0,0079417,W,0000163,1980
0,0078966,N,0000493,1980
0,0078718,N,0000199,1980
0,0078754,N,0001702,1980
0,0078841,N,0000634,1980
4,0079417,W,0415494,1980
4,0078902,N,0946811,1980
1,0078841,W,0002048,1980
1,0078788,N,0000380,1980
1,0079826,N,0002078,1980
1,0079417,N,0377888,1980
1,0078872,N,0001682,1980
2,0079638,W,0000398,1980
2,0078966,N,0000404,1980
2,0078952,N,0556850,1980
2,0079826,N,0000541,1980
2,0079948,N,0001049,1980
3,0079417,W,0000658,1980
3,0079417,N,0000737,1980
3,0078902,N,0057363,1980
3,0079948,N,0000298,1980
3,0079522,N,0000446,1980
0,0082846,W,0000020,1982
0,0082031,N,0001545,1982
0,0081974,N,0000056,1982
0,0082979,N,0000886,1982
0,0080388,N,0000044,1982
4,0082158,W,0701298,1982
4,0082979,N,0000886,1982
1,0082031,W,0000024,1982
1,0082853,N,0168394,1982
1,0082158,N,0000453,1982
1,0082979,N,0000197,1982
1,0082970,N,0738415,1982
2,0082846,W,0000031,1982
2,0082979,N,0000473,1982
2,0082853,N,0556850,1982
2,0080388,N,0000215,1982
2,0082416,N,0000658,1982
3,0082979,W,0822972,1982
3,0081974,N,0227039,1982
3,0082846,N,0000404,1982
3,0082853,N,0352466,1982
3,0082970,N,0001527,1982
0,0086423,W,0000380,1984
0,0084591,N,0002018,1984
0,0085461,N,0183822,1984
0,0085461,N,0001215,1984
0,0085478,N,0000323,1984
4,0086425,W,0000985,1984
4,0086423,N,0387666,1984
1,0086425,W,0000197,1984
1,0086450,N,0001164,1984
1,0086425,N,0001475,1984
1,0086197,N,0001731,1984
1,0085380,N,0001800,1984
2,0086425,W,0000511,1984
2,0086429,N,0000737,1984
2,0086312,N,0000658,1984
2,0085478,N,0910278,1984
2,0086425,N,0000700,1984
3,0086617,W,0001373,1984
3,0086619,N,0001388,1984
3,0085380,N,0005569,1984
3,0086312,N,0000333,1984
3,0085244,N,0000335,1984
0,0089424,W,0000458,1986
0,0090329,N,0076759,1986
0,0089643,N,0001258,1986
0,0089841,N,0000197,1986
0,0089941,N,0000685,1986
4,0089755,W,0001628,1986
4,0090329,N,0271026,1986
1,0088933,W,0000747,1986
1,0089755,N,0001970,1986
1,0089841,N,0382676,1986
1,0089360,N,0005162,1986
1,0089941,N,0000616,1986
2,0090203,W,0656183,1986
2,0089755,N,0000658,1986
2,0088683,N,0000843,1986
2,0088939,N,0000155,1986
2,0090110,N,0001448,1986
3,0089841,W,0001378,1986
3,0088939,N,0001923,1986
3,0090223,N,0001496,1986
3,0088683,N,0000672,1986
3,0088939,N,0001856,1986
0,0094291,W,0000140,1988
0,0092699,N,0000458,1988
0,0093664,N,0000052,1988
0,0093277,N,0000197,1988
0,0093105,N,0000245,1988
4,0093389,W,0859016,1988
4,0093565,N,0658404,1988
4,0093565,N,0422484,1988
1,0094226,W,0000125,1988
1,0094056,N,0000151,1988
1,0093565,N,0306696,1988
1,0092804,N,0000243,1988
1,0092699,N,0000983,1988
2,0093565,W,0000333,1988
2,0093010,N,0000335,1988
2,0092699,N,0000456,1988
2,0092569,N,0000476,1988
2,0093277,N,0000658,1988
3,0093565,W,0001156,1988
3,0093067,N,0001903,1988
3,0093010,N,0000271,1988
3,0094142,N,0001649,1988
3,0094315,N,0815433,1988
0,0100486,W,0000460,1991
0,0099334,N,0000367,1991
0,0099566,N,0001321,1991
0,0099348,N,0000126,1991
0,0099077,N,0000134,1991
4,0099348,W,0933604,1991
4,0099348,W,0000126,1991
4,0099685,N,0005563,1991
1,0099685,W,0000582,1991
1,0100049,N,0001117,1991
1,0099674,N,0000412,1991
1,0099348,N,0001295,1991
1,0099422,N,0000199,1991
2,0100157,W,0000870,1991
2,0099703,N,0001378,1991
2,0100405,N,0000210,1991
