,title,imdbid,year,gross_usa,running_time,budget
0,Kate & Leopold (2001),35423,2001,62672072.47,118,63840000.0
764,Canadian Bacon (1995),109370,1995,254155.05,91,17050000.0
797,The Jerky Boys (1995),110189,1995,11714709.35,82,12400000.0
838,The American President (1995),112346,1995,93123218.8,114,96100000.0
839,Angus (1995),112368,1995,7473726.45,90,2325000.0
840,Apollo 13 (1995),112384,1995,266710533.6,140,96100000.0
841,Assassins (1995),112401,1995,46969761.6,132,77500000.0
842,Babe (1995),112431,1995,98671310.5,91,46500000.0
843,Bad Boys (1995),112442,1995,102000887.2,118,29450000.0
844,Balto (1995),112453,1995,17589902.2,78,15500000.0
845,Batman Forever (1995),112462,1995,285248223.6,121,155000000.0
846,Before Sunrise (1995),112471,1995,8579877.75,105,3875000.0
847,Beyond Rangoon (1995),112495,1995,8912670.5,100,35650000.0
848,Blue in the Face (1995),112541,1995,1966385.8,83,3100000.0
849,Boys on the Side (1995),112571,1995,36332291.4,115,32550000.0
850,The Bridges of Madison County (1995),112579,1995,110850756.35,135,37200000.0
851,Casino (1995),112641,1995,65894181.25,178,80600000.0
852,Casper (1995),112642,1995,155508700.7,100,77500000.0
853,Clockers (1995),112688,1995,20260852.9,128,38750000.0
854,Congo (1995),112715,1995,125584256.55,109,77500000.0
855,Copycat (1995),112722,1995,49680471.35,123,31000000.0
856,Crimson Tide (1995),112740,1995,141650152.25,116,82150000.0
857,The Crossing Guard (1995),112744,1995,1346917.45,111,13950000.0
858,"Cry, the Beloved Country (1995)",112749,1995,1048613.75,106,6200000.0
859,Cutthroat Island (1995),112760,1995,15526849.1,124,151900000.0
860,Dangerous Minds (1995),112792,1995,131625071.55,99,44950000.0
861,Dead Man (1995),112817,1995,1608662.85,121,13950000.0
862,Dead Man Walking (1995),112818,1995,61013634.25,122,17050000.0
863,Desperado (1995),112851,1995,39378439.75,104,10850000.0
864,Devil in a Blue Dress (1995),112857,1995,25018274.1,102,41850000.0
865,Die Hard: With a Vengeance (1995),112864,1995,155019373.45,131,139500000.0
867,Father of the Bride Part II (1995),113041,1995,118720865.85,106,46500000.0
868,First Knight (1995),113071,1995,58280674.25,134,85250000.0
869,Fluke (1995),113089,1995,6181040.4,96,23250000.0
870,Forget Paris (1995),113097,1995,51425425.7,101,32550000.0
871,Four Rooms (1995),113101,1995,6598898.7,98,6200000.0
872,French Kiss (1995),113117,1995,60290123.7,111,38750000.0
873,Get Shorty (1995),113161,1995,111757514.1,105,46887500.0
874,Gold Diggers: The Secret of Bear Mountain (1995),113188,1995,9345091.05,93,13950000.0
875,The Grass Harp (1995),113211,1995,764160.85,107,12400000.0
876,Grumpier Old Men (1995),113228,1995,110853679.65,101,38750000.0
877,Heat (1995),113277,1995,104527067.9,170,93000000.0
878,Hideaway (1995),113303,1995,18911945.25,106,23250000.0
879,Home for the Holidays (1995),113321,1995,27154711.95,103,31000000.0
880,How to Make an American Quilt (1995),113347,1995,36580031.0,109,31000000.0
881,The Indian in the Cupboard (1995),113419,1995,55267003.05,96,69750000.0
882,Jade (1995),113451,1995,15269995.5,95,77500000.0
883,Jefferson in Paris (1995),113463,1995,3834185.4,139,21700000.0
884,Judge Dredd (1995),113492,1995,53774895.55,96,139500000.0
885,Jumanji (1995),113497,1995,155736635.95,104,100750000.0
886,Jury Duty (1995),113500,1995,26372712.15,88,32550000.0
887,Just Cause (1995),113501,1995,57122494.1,102,41850000.0
888,A Kid in King Arthur's Court (1995),113538,1995,20780411.35,89,38750000.0
889,Kids (1995),113540,1995,11488934.8,91,2325000.0
890,Kiss of Death (1995),113552,1995,23160754.1,101,62000000.0
891,Leaving Las Vegas (1995),113627,1995,49646388.4,111,5580000.0
892,Losing Isaiah (1995),113691,1995,11785837.3,111,26350000.0
893,Mighty Aphrodite (1995),113819,1995,10026171.9,95,23250000.0
894,Money Train (1995),113845,1995,54918225.15,110,93000000.0
895,Mr. Holland's Opus (1995),113862,1995,127983455.05,143,35650000.0
896,My Family (1995),113896,1995,17173028.15,128,8525000.0
897,The Net (1995),113957,1995,78628345.75,114,34100000.0
898,Nine Months (1995),113986,1995,108011024.6,103,69750000.0
899,Nixon (1995),113987,1995,21206735.75,192,68200000.0
900,Now and Then (1995),114011,1995,42024109.95,100,18600000.0
901,Othello (1995),114057,1995,4408787.45,123,17050000.0
902,Outbreak (1995),114069,1995,104872318.0,127,77500000.0
903,The Perez Family (1995),114113,1995,4390880.3,113,17050000.0
904,Pocahontas (1995),114148,1995,219448648.15,81,85250000.0
905,Powder (1995),114168,1995,47836341.8,111,31000000.0
906,The Prophecy (1995),114194,1995,24979610.9,98,12400000.0
907,The Quick and the Dead (1995),114214,1995,28886632.35,107,49600000.0
908,Restoration (1995),114272,1995,6209208.55,117,29450000.0
909,Richard III (1995),114279,1995,4161601.2,104,9300000.0
910,Rob Roy (1995),114287,1995,48975212.05,139,43400000.0
911,Roommates (1995),114296,1995,18750165.55,108,34100000.0
912,Sabrina (1995),114319,1995,83191724.0,127,89900000.0
913,The Scarlet Letter (1995),114345,1995,16092730.85,135,71300000.0
914,Se7en (1995),114369,1995,155193750.0,127,51150000.0
915,Search and Destroy (1995),114371,1995,603729.65,90,6200000.0
916,Sense and Sensibility (1995),114388,1995,66933302.8,131,25575000.0
917,Smoke (1995),114478,1995,12969835.8,112,10850000.0
918,Something to Talk About (1995),114496,1995,78841662.95,106,46500000.0
919,Species (1995),114508,1995,93114859.65,108,54250000.0
920,The Stars Fell on Henrietta (1995),114534,1995,153942.9,109,20150000.0
921,Steal Big Steal Little (1995),114536,1995,4882763.5,135,54250000.0
922,Strange Days (1995),114558,1995,12336901.05,145,65100000.0
923,Tank Girl (1995),114614,1995,6299967.25,104,38750000.0
924,Things to Do in Denver When You're Dead (1995),114660,1995,821137.3,115,10850000.0
925,To Die For (1995),114681,1995,32990996.7,106,31000000.0
926,Tommy Boy (1995),114694,1995,50653843.45,97,38750000.0
927,Toy Story (1995),114709,1995,297284161.15,81,46500000.0
928,Twelve Monkeys (1995),114746,1995,88569261.45,129,44950000.0
