imdbid,role,talentid
0179098,actor,0350453
0765010,actor,0350453
0473075,actor,0350453
0377107,actor,0350453
0388795,actor,0350453
2872718,actor,0350453
0418763,actor,0350453
0945513,actor,0350453
0758752,actor,0350453
0804522,actor,0350453
1855199,actor,0350453
0443706,actor,0350453
0279113,actor,0350453
0132477,actor,0350453
1392214,actor,0350453
0246578,actor,0350453
0258470,actor,0350453
0319262,actor,0350453
1263670,actor,0350454
1870529,actor,0350454
0274812,actor,0350454
1415283,actor,0350454
0304415,actor,0350454
0361693,actor,0350454
2334879,actor,0350454
0246578,actor,0350454
0468569,actor,0350454
0423169,actor,0350454
0246544,actor,0001653
0172396,actor,0001653
1496025,actor,0001653
0444682,actor,0001653
0295254,actor,0001653
0434409,actor,0001653
0160338,actor,0001653
0758786,actor,0001653
0278731,actor,0001655
0120684,actor,0001655
0384686,actor,0001655
0207524,actor,0001655
0293832,actor,0001655
0316396,actor,0001655
0282120,actor,0001655
0118556,actor,0822972
0345061,actor,0608090
0181689,actor,0608090
0158371,actor,0608090
0431213,actor,0608090
0401729,actor,0608090
0144178,actor,0608090
0475984,actor,0608090
0790712,actor,0608090
1464191,actor,0608090
0383028,actor,0608090
1535109,actor,5831542
1747958,actor,0654110
0206634,actor,0654110
0349683,actor,0654110
1448755,actor,0654110
0401792,actor,0654110
1634121,actor,0654110
1529572,actor,0654110
0376541,actor,0654110
0398017,actor,0654110
0294357,actor,0654110
0414055,actor,0654110
0203540,actor,0654110
1135487,actor,0654110
0454848,actor,0654110
0465602,actor,0654110
0963178,actor,0654110
0258463,actor,0654110
0278504,actor,0005476
0298814,actor,0005476
2398231,actor,0005476
0431308,actor,0005476
0171804,actor,0005476
1244754,actor,0005476
0463998,actor,0005476
1129445,actor,0005476
0387877,actor,0005476
0444682,actor,0005476
0405159,actor,0005476
0116531,actor,0001484
1194417,actor,0001484
0147612,actor,0001484
0437863,actor,0001484
1800241,actor,0177896
0817230,actor,0177896
1119646,actor,0177896
1840417,actor,0177896
0808399,actor,0177896
2097307,actor,0177896
1045658,actor,0177896
0429493,actor,0177896
0805570,actor,0177896
1219289,actor,0177896
1068680,actor,0177896
2015381,actor,0177896
0795351,actor,0177896
2179136,actor,0177896
1817273,actor,0177896
0881891,actor,0177896
1951261,actor,0177896
0427229,actor,0177896
1411697,actor,0177896
1179056,actor,1913734
1285016,actor,1913734
1151410,actor,1913734
2053463,actor,1913734
1568346,actor,1913734
0816692,actor,0000995
0114296,actor,0000995
0279778,actor,0000995
1034324,actor,0000995
0847897,actor,0000995
0138946,actor,0000995
0180093,actor,0000995
0451221,actor,0000995
0113347,actor,0000995
0974662,actor,0000995
1150947,actor,0000995
0450345,actor,0000995
1365483,actor,0000995
0145734,actor,0000995
0117718,actor,0000995
0414993,actor,0000995
1719071,actor,0000995
0115610,actor,0000446
0882969,actor,0000446
2267998,actor,0683253
0488120,actor,0683253
1634122,actor,0683253
1646987,actor,0683253
1626146,actor,0683253
0419706,actor,0683253
0790724,actor,0683253
0414387,actor,0683253
0986263,actor,0683253
0246460,actor,0683253
0116313,actor,0000443
0280460,actor,0000443
0141907,actor,0000443
0116242,actor,0000443
0129280,actor,0000443
1454029,actor,1297015
0481499,actor,1297015
1570728,actor,1297015
0948470,actor,1297015
1282140,actor,1297015
1156398,actor,1297015
2870756,actor,1297015
1333125,actor,1297015
1392197,actor,1297015
1872181,actor,1297015
0821640,actor,1297015
0852713,actor,1297015
1031969,actor,1297015
1321870,actor,1297015
1412386,actor,0929489
0120812,actor,0929489
1320239,actor,0929489
0990407,actor,0929489
1135487,actor,0929489
1210819,actor,0929489
0465538,actor,0929489
0116409,actor,0929489
0138097,actor,0929489
0119164,actor,0929489
0985699,actor,0929489
0404032,actor,0929489
0247425,actor,0929489
0265087,actor,0929489
1226753,actor,0929489
0968264,actor,0929489
1032755,actor,0929489
0338013,actor,0929489
0114388,actor,0929489
0415856,actor,0001453
0113211,actor,0001453
1403177,actor,0001453
0112744,actor,0001453
1412386,actor,0001132
0278500,actor,0001132
0830515,actor,0001132
2431286,actor,0001132
0381061,actor,0001132
0241303,actor,0001132
0120824,actor,0001132
0413015,actor,0001132
0120857,actor,0001132
1074638,actor,0001132
0296572,actor,0001132
0280778,actor,0001132
0299172,actor,0001132
0465551,actor,0001132
0763304,actor,0001132
0221218,actor,0001136
0882969,actor,0001136
1821549,actor,0001136
0469263,actor,0001136
0171363,actor,0001136
0340855,actor,0001136
0116130,actor,0001136
0116830,actor,0001136
0398027,actor,0001136
0119223,actor,0000843
0125022,actor,0000843
0113321,actor,0000843
0119173,actor,0000843
0120587,actor,0000843
0361500,actor,0000843
0118901,actor,0000843
0113347,actor,0000843
0171433,actor,0000843
1045658,actor,0915865
1454029,actor,1567113
0816692,actor,1567113
2023587,actor,1567113
0478304,actor,1567113
1790885,actor,1567113
1212450,actor,1567113
1675192,actor,1567113
1139282,actor,1567113
2937898,actor,1567113
1723811,actor,1055413
1506999,actor,1055413
1075747,actor,1055413
1270798,actor,1055413
1229822,actor,1055413
1446714,actor,1055413
0361748,actor,1055413
1877832,actor,1055413
2193215,actor,1055413
2024544,actor,1055413
1074638,actor,0000849
0497465,actor,0000849
2193215,actor,0000849
0477348,actor,0000849
0879870,actor,0000849
0484740,actor,0000849
0455957,actor,0000849
0800308,actor,0000438
0116260,actor,0000438
0113501,actor,0000438
0118548,actor,0000438
1839642,actor,0000438
0183659,actor,0000438
1980209,actor,0000438
2980706,actor,0000438
0274558,actor,0000438
0113987,actor,0000438
0399146,actor,0000438
0268978,actor,0000438
2224004,actor,0000438
0308383,actor,0000438
1922685,actor,0000438
1454468,actor,0000438
0252299,actor,0000438
2510028,actor,0000438
0117500,actor,0000438
1023114,actor,0000438
1251743,actor,0000438
0112384,actor,0000438
0215750,actor,0000438
1706620,actor,0000438
0452623,actor,0000438
0316465,actor,0000438
0424908,actor,0000438
0120382,actor,0000438
0120686,actor,0000438
2199571,actor,0000438
0380817,actor,0000438
0112740,actor,0000432
0120660,actor,0000432
0191397,actor,0000432
0115685,actor,0000432
0313542,actor,0000432
0120587,actor,0000432
0113161,actor,0000432
0361925,actor,0000432
0164212,actor,0000432
0119594,actor,0000432
0125022,actor,0000432
0118548,actor,0000432
0114214,actor,0000432
0265666,actor,0000432
0159273,actor,0000432
0115862,actor,0000432
0116259,actor,0000432
0252503,actor,0000432
0800241,actor,0000437
0427998,actor,0000437
1156398,actor,0000437
0477348,actor,0000437
0790712,actor,0000437
1951265,actor,0000437
0839980,actor,0000437
1640548,actor,0000437
0406158,actor,0000437
0420087,actor,0000437
0196857,actor,0000437
0116778,actor,0000437
0976247,actor,0000437
1303828,actor,0000437
0783608,actor,0000437
0113845,actor,0000437
1931533,actor,0000437
1206543,actor,0000437
0131369,actor,0000437
0814314,actor,0000437
0850253,actor,0000437
1670345,actor,0000437
0120490,actor,0000437
0367479,actor,0000437
1621039,actor,0000437
0117318,actor,0000437
0305669,actor,0687506
0115433,actor,0687506
0117102,actor,0687506
0120857,actor,0687506
0327919,actor,0687506
1772288,actor,0000199
0379889,actor,0000199
1535612,actor,0000199
0119008,actor,0000199
0292506,actor,0000199
0417217,actor,0000199
0115907,actor,0000199
0810913,actor,0000199
0258153,actor,0000199
0146838,actor,0000199
1389096,actor,0000199
0113277,actor,0000199
0278504,actor,0000199
0140352,actor,0000199
0118971,actor,0000199
0411061,actor,0000199
1034331,actor,0000199
0118583,actor,0000213
0172493,actor,0000213
0115988,actor,0000213
0811106,actor,0000213
0280590,actor,0000213
0405296,actor,0000213
2312718,actor,0000213
1142977,actor,0000213
0258153,actor,0000213
0113347,actor,0000213
1578275,actor,0000213
0947798,actor,0000213
0174480,actor,0000213
0160484,actor,0000213
