talentid,first_name,last_name,suffix,birth_date,gender
0000002,Lauren,Bacall,,1924-09-16,F
0000008,Marlon,Brando,,1924-04-03,M
0000020,Henry,Fonda,,1905-05-16,M
0000024,John,Gielgud,,1904-04-14,M
0000027,Alec,Guinness,,1914-04-02,M
0000031,Katharine,Hepburn,,1907-05-12,F
0000044,Burt,Lancaster,,1913-11-02,M
0000051,James,Mason,(I),1909-05-15,M
0000052,Marcello,Mastroianni,,1924-09-28,M
0000056,Paul,Newman,(I),1925-01-26,M
0000090,Armin,Mueller-Stahl,,1930-12-17,M
0000093,Brad,Pitt,,1963-12-18,M
0000099,Patricia,Arquette,,1968-04-08,F
0000101,Dan,Aykroyd,,1952-07-01,M
0000107,Kim,Basinger,,1953-12-08,F
0000110,Kenneth,Branagh,,1960-12-10,M
0000113,Sandra,Bullock,,1964-07-26,F
0000115,Nicolas,Cage,,1964-01-07,M
0000123,George,Clooney,(I),1961-05-06,
0000124,Jennifer,Connelly,,1970-12-12,F
0000125,Sean,Connery,,1930-08-25,M
0000126,Kevin,Costner,,1955-01-18,M
0000128,Russell,Crowe,,1964-04-07,M
0000129,Tom,Cruise,,1962-07-03,M
0000133,Geena,Davis,,1956-01-21,F
0000134,Robert,De Niro,,1943-08-17,M
0000136,Johnny,Depp,,1963-06-09,M
0000138,Leonardo,DiCaprio,,1974-11-11,M
0000140,Michael,Douglas,(I),1944-09-25,M
0000142,Clint,Eastwood,,1930-05-31,M
0000146,Ralph,Fiennes,,1962-12-22,M
0000147,Colin,Firth,,1960-09-10,M
0000149,Jodie,Foster,,1962-11-19,F
0000151,Morgan,Freeman,(I),1937-06-01,M
0000155,Whoopi,Goldberg,,1955-11-13,F
0000158,Tom,Hanks,,1956-07-09,M
0000160,Ethan,Hawke,,1970-11-06,M
0000161,Salma,Hayek,,1966-09-02,F
0000163,Dustin,Hoffman,,1937-08-08,M
0000164,Anthony,Hopkins,(I),1937-12-31,M
0000166,Helen,Hunt,(I),1963-06-15,F
0000168,Samuel L.,Jackson,,1948-12-21,M
0000169,Tommy Lee,Jones,,1946-09-15,M
0000172,Harvey,Keitel,,1939-05-13,M
0000173,Nicole,Kidman,,1967-06-20,F
0000177,Kevin,Kline,(I),1947-10-24,M
0000178,Diane,Lane,(I),1965-01-22,F
0000179,Jude,Law,,1972-12-29,M
0000190,Matthew,McConaughey,,1969-11-04,M
0000194,Julianne,Moore,,1960-12-03,F
0000195,Bill,Murray,(I),1950-09-21,M
0000197,Jack,Nicholson,(I),1937-04-22,M
0000198,Gary,Oldman,,1958-03-21,M
0000199,Al,Pacino,(I),1940-04-25,M
0000201,Michelle,Pfeiffer,,1958-04-29,F
0000203,River,Phoenix,,1970-08-23,M
0000204,Natalie,Portman,,1981-06-09,F
0000209,Tim,Robbins,(I),1958-10-16,M
0000210,Julia,Roberts,(I),1967-10-28,F
0000213,Winona,Ryder,,1971-10-29,F
0000215,Susan,Sarandon,,1946-10-04,F
0000218,Kristin,Scott Thomas,,1960-05-24,F
0000223,Elisabeth,Shue,,1963-10-06,F
0000226,Will,Smith,(I),1968-09-25,M
0000227,Mira,Sorvino,,1967-09-28,F
0000228,Kevin,Spacey,,1959-07-26,M
0000232,Sharon,Stone,(I),1958-03-10,F
0000234,Charlize,Theron,,1975-08-07,F
0000235,Uma,Thurman,,1970-04-29,F
0000236,Jennifer,Tilly,,1958-09-16,F
0000237,John,Travolta,(I),1954-02-18,M
0000242,Mark,Wahlberg,(I),1971-06-05,M
0000243,Denzel,Washington,,1954-12-28,M
0000244,Sigourney,Weaver,,1949-10-08,F
0000245,Robin,Williams,(I),1951-07-21,M
0000249,James,Woods,(I),1947-04-18,M
0000250,Renée,Zellweger,,1969-04-25,F
0000254,Isabelle,Adjani,,1955-06-27,F
0000257,Alan,Alda,,1936-01-28,M
0000260,Joan,Allen,(I),1956-08-20,F
0000267,Julie,Andrews,(I),1935-10-01,F
0000271,Anne,Archer,(I),1947-08-24,F
0000273,Alan,Arkin,,1934-03-26,M
0000285,Alec,Baldwin,,1958-04-03,M
0000288,Christian,Bale,,1974-01-30,M
0000291,Angela,Bassett,,1958-08-16,F
0000297,Tom,Berenger,,1949-05-31,M
0000298,Candice,Bergen,,1946-05-09,F
0000300,Juliette,Binoche,,1964-03-09,F
0000307,Helena,Bonham Carter,,1966-05-26,F
0000313,Jeff,Bridges,(I),1949-12-04,M
0000323,Michael,Caine,(I),1933-03-14,M
0000330,Stockard,Channing,,1944-02-13,F
0000332,Don,Cheadle,,1964-11-29,M
0000333,Cher (I),,,1946-05-20,F
0000335,Glenn,Close,,1947-03-19,F
0000336,James,Coburn,(I),1928-08-31,M
0000342,James,Cromwell,(I),1940-01-27,M
0000349,Joan,Cusack,,1962-10-11,F
0000353,Willem,Dafoe,,1955-07-22,M
0000354,Matt,Damon,,1970-10-08,M
0000358,Daniel,Day-Lewis,,1957-04-29,M
0000366,Catherine,Deneuve,,1943-10-22,F
0000367,Gérard,Depardieu,,1948-12-27,M
0000368,Laura,Dern,,1967-02-10,F
0000369,Matt,Dillon,(I),1964-02-18,M
0000375,Robert,Downey Jr.,,1965-04-04,M
0000377,Richard,Dreyfuss,,1947-10-29,M
0000378,Minnie,Driver,,1970-01-31,F
0000380,Robert,Duvall,,1931-01-05,M
0000398,Sally,Field,,1946-11-06,F
0000401,Laurence,Fishburne,,1961-07-30,M
0000404,Jane,Fonda,,1937-12-21,F
0000412,Andy,Garcia,(I),1956-04-12,M
0000414,Teri,Garr,,1947-12-11,F
0000421,Cuba,Gooding Jr.,,1968-01-02,M
0000429,Melanie,Griffith,,1957-08-09,F
0000432,Gene,Hackman,,1930-01-30,M
0000437,Woody,Harrelson,,1961-07-23,M
0000438,Ed,Harris,(I),1950-11-28,M
0000443,Goldie,Hawn,,1945-11-21,F
0000446,Mariel,Hemingway,,1961-11-22,F
0000450,Philip Seymour,Hoffman,,1967-07-23,M
0000453,Ian,Holm,,1931-09-12,M
0000454,Dennis,Hopper,,1936-05-17,M
0000456,Holly,Hunter,,1958-03-20,F
0000457,John,Hurt,,1940-01-22,M
0000458,William,Hurt,,1950-03-20,M
0000459,Timothy,Hutton,,1960-08-16,M
0000460,Jeremy,Irons,,1948-09-19,M
0000473,Diane,Keaton,,1946-01-05,F
0000474,Michael,Keaton,,1951-09-05,M
0000476,Sally,Kirkland,(I),1941-10-31,F
0000493,Jack,Lemmon,,1925-02-08,M
0000496,Juliette,Lewis,(I),1973-06-21,F
0000511,Shirley,MacLaine,,1934-04-24,F
0000513,William H.,Macy,,1950-03-13,M
0000515,Virginia,Madsen,,1961-09-11,F
0000518,John,Malkovich,,1953-12-09,M
0000531,Frances,McDormand,,1957-06-23,F
0000541,Bette,Midler,,1945-12-01,F
0000545,Helen,Mirren,,1945-07-26,F
0000552,Eddie,Murphy,(I),1961-04-03,M
0000553,Liam,Neeson,,1952-06-07,M
0000560,Nick,Nolte,,1941-02-08,M
0000564,Peter,O'Toole,(I),1932-08-02,M
0000565,Lena,Olin,,1955-03-22,F
0000569,Gwyneth,Paltrow,,1972-09-27,F
0000576,Sean,Penn,(I),1960-08-17,M
0000582,Joe,Pesci,,1943-02-09,M
0000592,Pete,Postlethwaite,,1946-02-07,M
0000599,Kathleen,Quinlan,,1954-11-19,F
0000603,Vanessa,Redgrave,,1937-01-30,F
0000604,John C.,Reilly,(I),1965-05-24,M
0000608,Burt,Reynolds,(I),1936-02-11,M
0000616,Eric,Roberts,(I),1956-04-18,M
0000619,Tim,Roth,(I),1961-05-14,M
0000620,Mickey,Rourke,,1952-09-16,M
0000634,Peter,Sellers,(I),1925-09-08,M
0000641,Gary,Sinise,,1955-03-17,M
0000651,Sissy,Spacek,,1949-12-25,F
0000657,David,Strathairn,,1949-01-26,M
0000658,Meryl,Streep,,1949-06-22,F
0000668,Emma,Thompson,(I),1959-04-15,F
0000671,Billy Bob,Thornton,,1955-08-04,M
0000672,Meg,Tilly,,1960-02-14,F
0000673,Marisa,Tomei,,1964-12-04,F
0000678,Kathleen,Turner,(I),1954-06-19,F
0000685,Jon,Voight,,1938-12-29,M
0000686,Christopher,Walken,,1943-03-31,M
0000690,Lesley Ann,Warren,,1946-08-16,F
0000700,Debra,Winger,,1955-05-16,F
0000701,Kate,Winslet,,1975-10-05,F
0000702,Reese,Witherspoon,,1976-03-22,F
0000719,F. Murray,Abraham,,1939-10-24,M
0000729,Casey,Affleck,,1975-08-12,M
0000732,Danny,Aiello,,1933-06-20,M
0000737,Jane,Alexander,(I),1939-10-28,F
0000747,Don,Ameche,,1908-05-31,M
0000843,Anne,Bancroft,(I),1931-09-17,F
0000849,Javier,Bardem,,1969-03-01,M
0000870,Kathy,Bates,(I),1948-06-28,F
0000886,Warren,Beatty,(I),1937-03-30,M
